date,country,first_dose,cumulation,population,percentage
2020-12-16,Europe,3357.0,3357.0,748000882,4.487962622482576e-06
2020-12-17,Europe,3357.0,6714.0,748000882,8.975925244965152e-06
2020-12-18,Europe,3357.0,10071.0,748000882,1.3463887867447728e-05
2020-12-19,Europe,3357.0,13428.0,748000882,1.7951850489930304e-05
2020-12-20,Europe,3357.0,16785.0,748000882,2.243981311241288e-05
2020-12-21,Europe,3357.0,20142.0,748000882,2.6927775734895456e-05
2020-12-22,Europe,3357.0,23499.0,748000882,3.1415738357378036e-05
2020-12-23,Europe,2878.0,26377.0,748000882,3.526332740340271e-05
2020-12-24,Europe,2398.0,28775.0,748000882,3.846920597615017e-05
2020-12-25,Europe,1918.0,30693.0,748000882,4.1033374075620406e-05
2020-12-26,Europe,1439.0,32132.0,748000882,4.295716859863275e-05
2020-12-27,Europe,9058.0,41190.0,748000882,5.506677998810167e-05
2020-12-28,Europe,14055.0,55245.0,748000882,7.385686478375035e-05
2020-12-29,Europe,26586.0,81831.0,748000882,0.00010939960362239252
2020-12-30,Europe,47787.0,129618.0,748000882,0.00017328589192759801
2020-12-31,Europe,63448.0,193066.0,748000882,0.0002581093213202922
2021-01-01,Europe,68504.0,261570.0,748000882,0.00034969210103150654
2021-01-02,Europe,190611.0,452181.0,748000882,0.0006045193406603496
2021-01-03,Europe,396154.0,848335.0,748000882,0.0011341363632242348
2021-01-04,Europe,430141.0,1278476.0,748000882,0.0017091904979866053
2021-01-05,Europe,462428.0,1740904.0,748000882,0.002327409020354604
2021-01-06,Europe,479386.0,2220290.0,748000882,0.00296829863898476
2021-01-07,Europe,521087.0,2741377.0,748000882,0.0036649381918776934
2021-01-08,Europe,569682.0,3311059.0,748000882,0.004426544245705849
2021-01-09,Europe,475558.0,3786617.0,748000882,0.005062316223311619
2021-01-10,Europe,475003.0,4261620.0,748000882,0.005697346223182662
2021-01-11,Europe,520622.0,4782242.0,748000882,0.0063933641190546085
2021-01-12,Europe,573545.0,5355787.0,748000882,0.007160134605295827
2021-01-13,Europe,691296.0,6047083.0,748000882,0.008084326028909683
2021-01-14,Europe,756888.0,6803971.0,748000882,0.009096207188696871
2021-01-15,Europe,826996.0,7630967.0,748000882,0.010201815510693475
2021-01-16,Europe,873168.0,8504135.0,748000882,0.011369151032632072
2021-01-17,Europe,733345.0,9237480.0,748000882,0.012349557630601832
2021-01-18,Europe,749117.0,9986597.0,748000882,0.013351049765206026
2021-01-19,Europe,779265.0,10765862.0,748000882,0.014392846665119306
2021-01-20,Europe,767647.0,11533509.0,748000882,0.01541911149778564
2021-01-21,Europe,798838.0,12332347.0,748000882,0.01648707547914362
2021-01-22,Europe,824650.0,13156997.0,748000882,0.017589547441202082
2021-01-23,Europe,867097.0,14024094.0,748000882,0.01874876666255054
2021-01-24,Europe,924265.0,14948359.0,748000882,0.019984413601266314
2021-01-25,Europe,942307.0,15890666.0,748000882,0.0212441808323964
2021-01-26,Europe,957109.0,16847775.0,748000882,0.022523736810246168
2021-01-27,Europe,960904.0,17808679.0,748000882,0.023808366311525286
2021-01-28,Europe,972426.0,18781105.0,748000882,0.025108399537956693
2021-01-29,Europe,983848.0,19764953.0,748000882,0.026423702799858464
2021-01-30,Europe,1007296.0,20772249.0,748000882,0.027770353618379824
2021-01-31,Europe,1023423.0,21795672.0,748000882,0.02913856457190648
2021-02-01,Europe,1031743.0,22827415.0,748000882,0.030517898506969943
2021-02-02,Europe,1051141.0,23878556.0,748000882,0.03192316556653472
2021-02-03,Europe,1094115.0,24972671.0,748000882,0.03338588443001328
2021-02-04,Europe,1126450.0,26099121.0,748000882,0.0348918318521448
2021-02-05,Europe,1138081.0,27237202.0,748000882,0.03641332872118191
2021-02-06,Europe,1127491.0,28364693.0,748000882,0.037920667852902344
2021-02-07,Europe,1114925.0,29479618.0,748000882,0.03941120753919111
2021-02-08,Europe,1106957.0,30586575.0,748000882,0.040891094831623474
2021-02-09,Europe,1107829.0,31694404.0,748000882,0.04237214789808229
2021-02-10,Europe,1100772.0,32795176.0,748000882,0.04384376648368712
2021-02-11,Europe,1123306.0,33918482.0,748000882,0.045345510702218664
2021-02-12,Europe,1167243.0,35085725.0,748000882,0.046905994156301006
2021-02-13,Europe,1169769.0,36255494.0,748000882,0.04846985461174897
2021-02-14,Europe,1193196.0,37448690.0,748000882,0.050065034548983325
2021-02-15,Europe,1201922.0,38650612.0,748000882,0.05167188024786313
2021-02-16,Europe,1195222.0,39845834.0,748000882,0.05326976873805344
2021-02-17,Europe,1218669.0,41064503.0,748000882,0.05489900344796652
2021-02-18,Europe,1225916.0,42290419.0,748000882,0.05653792664912927
2021-02-19,Europe,1189750.0,43480169.0,748000882,0.05812849963992422
2021-02-20,Europe,1179698.0,44659867.0,748000882,0.05970563414389129
2021-02-21,Europe,1164768.0,45824635.0,748000882,0.0612628087783458
2021-02-22,Europe,1169004.0,46993639.0,748000882,0.06282564650772698
2021-02-23,Europe,1220581.0,48214220.0,748000882,0.06445743736435862
2021-02-24,Europe,1264013.0,49478233.0,748000882,0.06614729232364729
2021-02-25,Europe,1266828.0,50745061.0,748000882,0.06784091064748236
2021-02-26,Europe,1338576.0,52083637.0,748000882,0.06963044864431056
2021-02-27,Europe,1378086.0,53461723.0,748000882,0.07147280743447038
2021-02-28,Europe,1421528.0,54883251.0,748000882,0.07337324369625543
2021-03-01,Europe,1450644.0,56333895.0,748000882,0.07531260504583202
2021-03-02,Europe,2039584.0,58373479.0,748000882,0.07803931840818337
2021-03-03,Europe,2078327.0,60451806.0,748000882,0.08081782716400594
2021-03-04,Europe,2225831.0,62677637.0,748000882,0.08379353354826659
2021-03-05,Europe,2270548.0,64948185.0,748000882,0.08682902194759712
2021-03-06,Europe,2367789.0,67315974.0,748000882,0.08999451153053586
2021-03-07,Europe,2403511.0,69719485.0,748000882,0.09320775774165464
2021-03-08,Europe,2442930.0,72162415.0,748000882,0.09647370308849448
2021-03-09,Europe,1878932.0,74041347.0,748000882,0.09898564130302723
2021-03-10,Europe,1894721.0,75936068.0,748000882,0.10151868778144034
2021-03-11,Europe,1864906.0,77800974.0,748000882,0.1040118746811852
2021-03-12,Europe,1863649.0,79664623.0,748000882,0.10650338110162817
2021-03-13,Europe,1841151.0,81505774.0,748000882,0.1089648100174299
2021-03-14,Europe,1817310.0,83323084.0,748000882,0.11139436597616205
2021-03-15,Europe,1853636.0,85176720.0,748000882,0.11387248604875308
2021-03-16,Europe,1824275.0,87000995.0,748000882,0.11631135349383184
2021-03-17,Europe,1897473.0,88898468.0,748000882,0.11884807911229174
2021-03-18,Europe,1826472.0,90724940.0,748000882,0.12128988371968256
2021-03-19,Europe,1838954.0,92563894.0,748000882,0.12374837547317223
2021-03-20,Europe,1947987.0,94511881.0,748000882,0.12635263309756364
2021-03-21,Europe,1956377.0,96468258.0,748000882,0.12896810728626923
2021-03-22,Europe,1983732.0,98451990.0,748000882,0.13162015228746748
2021-03-23,Europe,2068707.0,100520697.0,748000882,0.13438580009588813
2021-03-24,Europe,2045847.0,102566544.0,748000882,0.13712088644301892
2021-03-25,Europe,2112463.0,104679007.0,748000882,0.13994503150866605
2021-03-26,Europe,2244690.0,106923697.0,748000882,0.1429459504300424
2021-03-27,Europe,2152514.0,109076211.0,748000882,0.14582363955020042
2021-03-28,Europe,2202729.0,111278940.0,748000882,0.14876846094414098
2021-03-29,Europe,2626815.0,113905755.0,748000882,0.15228024156260286
2021-03-30,Europe,2661823.0,116567578.0,748000882,0.15583882426491577
2021-03-31,Europe,2791497.0,119359075.0,748000882,0.15957076772537818
2021-04-01,Europe,2900005.0,122259080.0,748000882,0.16344777518591214
2021-04-02,Europe,2773859.0,125032939.0,748000882,0.16715613846027524
2021-04-03,Europe,2781929.0,127814868.0,748000882,0.1708752904919703
2021-04-04,Europe,2753574.0,130568442.0,748000882,0.17455653481435332
2021-04-05,Europe,2242091.0,132810533.0,748000882,0.17755397914089624
